st,g1,b1,b3,qntl,toe_SV,para_SV,sd_SV,mean.se_SV
b,0.15,-0.4,-0.2,0.2,0.6662,0.15068908,0.063424173,0.063134175
b,0.15,-0.4,-0.3,0.01,0.633,0.150851803,0.066065788,0.065672082
b,0.15,-0.4,-0.3,0.2,0.6696,0.150434077,0.063209726,0.063089457
b,0.15,-0.4,-0.4,0.01,0.6193,0.150781681,0.067041499,0.066635806
b,0.15,-0.4,-0.4,0.2,0.6641,0.150436293,0.063447991,0.06313758
b,0.15,-0.4,-0.5,0.01,0.5958,0.150843925,0.06882025,0.068356361
b,0.15,-0.4,-0.5,0.2,0.6675,0.150781783,0.063074816,0.063259312
b,0.15,-0.4,-0.6,0.01,0.5672,0.15103522,0.070998698,0.070881166
b,0.15,-0.4,-0.6,0.2,0.6638,0.150539152,0.06337878,0.063465035
b,0.15,-0.4,-0.7,0.01,0.5238,0.151019907,0.074812879,0.074298331
b,0.15,-0.4,-0.7,0.2,0.6612,0.15077724,0.063626176,0.063759794
b,0.15,-0.4,0.1,0.01,0.591,0.150975259,0.069286468,0.068956376
b,0.15,-0.4,0.1,0.2,0.6579,0.150882239,0.063436113,0.063739068
b,0.15,-0.4,0.2,0.01,0.5522,0.150768063,0.071628473,0.07168566
b,0.15,-0.4,0.2,0.2,0.656,0.150805822,0.063930448,0.064114344
b,0.15,-0.4,0.3,0.01,0.5097,0.151065279,0.075260956,0.07532359
b,0.15,-0.4,0.3,0.2,0.6516,0.150773678,0.064350908,0.064579301
b,0.15,-0.4,0.4,0.01,0.4721,0.151660398,0.079507983,0.079963694
b,0.15,-0.4,0.4,0.2,0.6427,0.150891542,0.064995942,0.065145716
b,0.15,-0.4,0.5,0.01,0.4259,0.151768716,0.085830717,0.08576686
b,0.15,-0.4,0.5,0.2,0.6304,0.150910499,0.065942402,0.06581582
b,0.15,-0.4,0.6,0.01,0.369183673,0.151623049,0.092356681,0.092900682
b,0.15,-0.4,0.6,0.2,0.6223,0.150808811,0.066782284,0.066595997
b,0.15,-0.4,0.7,0.01,0.3145,0.15156211,0.101720159,0.10157799
b,0.15,-0.4,0.7,0.2,0.6096,0.15101772,0.067861436,0.067497969
b,0.15,-0.4,0,0.01,0.6122,0.150997055,0.067226754,0.067035081
b,0.15,-0.4,0,0.2,0.6616,0.151087509,0.063263329,0.063453892
b,0.15,0.4,-0.1,0.01,0.6341,0.150431147,0.065470294,0.065491686
b,0.15,0.4,-0.1,0.2,0.6713,0.150983185,0.063471861,0.063166969
b,0.15,0.4,-0.2,0.01,0.6513,0.150374376,0.064231257,0.064214812
b,0.15,0.4,-0.2,0.2,0.6767,0.151066812,0.062959326,0.062853935
b,0.15,0.4,-0.3,0.01,0.6582,0.150376595,0.064137605,0.063663144
b,0.15,0.4,-0.3,0.2,0.6774,0.150860702,0.062757879,0.062625886
b,0.15,0.4,-0.4,0.01,0.6589,0.150172147,0.064242143,0.063821772
b,0.15,0.4,-0.4,0.2,0.6762,0.15097815,0.062344358,0.062481759
b,0.15,0.4,-0.5,0.01,0.645,0.150109559,0.065410424,0.064677702
b,0.15,0.4,-0.5,0.2,0.6782,0.150858655,0.062309636,0.062419324
b,0.15,0.4,-0.6,0.01,0.6211,0.150138598,0.066622874,0.066278462
b,0.15,0.4,-0.6,0.2,0.6753,0.15112019,0.062239312,0.062438207
b,0.15,0.4,-0.7,0.01,0.591,0.150130347,0.069243608,0.068657316
b,0.15,0.4,-0.7,0.2,0.6773,0.151291888,0.062369852,0.062543677
b,0.15,0.4,0.1,0.01,0.5703,0.150788505,0.070049431,0.070369422
b,0.15,0.4,0.1,0.2,0.6539,0.150869241,0.064218492,0.064061753
b,0.15,0.4,0.2,0.01,0.5243,0.150046996,0.074192633,0.074133517
b,0.15,0.4,0.2,0.2,0.6436,0.150549547,0.064800083,0.064654611
b,0.15,0.4,0.3,0.01,0.4805,0.150183987,0.078768442,0.078907917
b,0.15,0.4,0.3,0.2,0.632,0.150533652,0.06571717,0.065352531
b,0.15,0.4,0.4,0.01,0.4311,0.150529663,0.085012724,0.084880947
b,0.15,0.4,0.4,0.2,0.624,0.150548282,0.066227875,0.066157832
b,0.15,0.4,0.5,0.01,0.381,0.150633886,0.092129201,0.092189255
b,0.15,0.4,0.5,0.2,0.6113,0.150347333,0.067264043,0.067087683
b,0.15,0.4,0.6,0.01,0.3291,0.15127305,0.100705848,0.101078611
b,0.15,0.4,0.6,0.2,0.5958,0.150552292,0.068124031,0.068149277
b,0.15,0.4,0.7,0.01,0.2722,0.15044422,0.11145545,0.111845198
b,0.15,0.4,0.7,0.2,0.5767,0.150490929,0.069212847,0.069353815
b,0.15,0.4,0,0.01,0.6009,0.150544212,0.067314882,0.067524608
b,0.15,0.4,0,0.2,0.661,0.150856935,0.063658515,0.063567011
b,0,-0.4,-0.1,0.01,0.0487,0.000337837,0.065180999,0.065196259
b,0,-0.4,-0.1,0.2,0.0511,-3.61E-05,0.062866445,0.06274352
b,0,-0.4,-0.2,0.01,0.051,0.000337949,0.06451652,0.064332273
b,0,-0.4,-0.2,0.2,0.0495,-8.76E-05,0.062801807,0.062525042
b,0,-0.4,-0.3,0.01,0.0494,0.00036592,0.064672057,0.064183884
b,0,-0.4,-0.3,0.2,0.0494,-0.000287391,0.062614015,0.062388463
b,0,-0.4,-0.4,0.01,0.0543,0.000373853,0.065402158,0.064755742
b,0,-0.4,-0.4,0.2,0.0493,-0.000377166,0.062604286,0.062345935
b,0,-0.4,-0.5,0.01,0.0539,0.000568728,0.066767094,0.066072165
b,0,-0.4,-0.5,0.2,0.0491,-0.000255573,0.062602183,0.062380641
b,0,-0.4,-0.6,0.01,0.0536,0.000382356,0.069091108,0.068171891
b,0,-0.4,-0.6,0.2,0.0506,-3.45E-05,0.062719524,0.0625023
b,0,-0.4,-0.7,0.01,0.0548,0.000354032,0.072277888,0.07112295
b,0,-0.4,-0.7,0.2,0.0497,9.03E-05,0.062948309,0.062712361
b,0,-0.4,0.1,0.01,0.05,0.000190601,0.069617926,0.069238735
b,0,-0.4,0.1,0.2,0.0509,0.00016461,0.063415352,0.063440621
b,0,-0.4,0.2,0.01,0.049,-2.11E-05,0.072582815,0.072533006
b,0,-0.4,0.2,0.2,0.0486,0.0001073,0.063894069,0.063932743
b,0,-0.4,0.3,0.01,0.0486,0.000443492,0.076633812,0.076813044
b,0,-0.4,0.3,0.2,0.0499,0.000168015,0.064489584,0.064522292
b,0,-0.4,0.4,0.01,0.0474,0.001213606,0.081956363,0.082203728
b,0,-0.4,0.4,0.2,0.0506,0.000179379,0.065269828,0.065220147
b,0,-0.4,0.5,0.01,0.051020408,0.000859302,0.088966992,0.088852213
b,0,-0.4,0.5,0.2,0.0498,0.000246046,0.066303622,0.06603859
b,0,-0.4,0.6,0.01,0.0488,0.001186832,0.096814129,0.096984022
b,0,-0.4,0.6,0.2,0.0496,0.000360429,0.067278697,0.066979877
b,0,-0.4,0.7,0.01,0.0487,0.0009758,0.107022914,0.106833274
b,0,-0.4,0.7,0.2,0.054,0.000456185,0.068730892,0.068052105
b,0,-0.4,0,0.01,0.0471,0.000599109,0.066904755,0.066818818
b,0,-0.4,0,0.2,0.0514,0.000360615,0.063028823,0.063043918
b,0,0.4,-0.1,0.01,0.0482,-0.000316059,0.065434203,0.065225232
b,0,0.4,-0.1,0.2,0.0513,0.000120096,0.06281398,0.062742533
b,0,0.4,-0.2,0.01,0.0486,-0.000457883,0.064485384,0.064348822
b,0,0.4,-0.2,0.2,0.0507,0.00015067,0.062427443,0.062526379
b,0,0.4,-0.3,0.01,0.0493,-0.000609402,0.064719974,0.064207098
b,0,0.4,-0.3,0.2,0.0494,2.67E-05,0.062402211,0.062390967
b,0,0.4,-0.4,0.01,0.0522,-0.000820587,0.065510466,0.064775006
b,0,0.4,-0.4,0.2,0.0479,0.000128566,0.062122535,0.062338956
b,0,0.4,-0.5,0.01,0.0515,-0.000596551,0.066866572,0.066082283
b,0,0.4,-0.5,0.2,0.0484,7.72E-05,0.062096215,0.062372272
