"rand-number","p-value","par.est","var.est"
1,0.318623013758363,0.102846209476366,0.0106348728168852
2,0.159150752658081,0.15623642713146,0.0123140324164494
3,0.455880557370796,0.0789496619773704,0.0112107264991836
4,0.576483960777155,0.059573852386022,0.0113768394956605
5,0.177993883074322,0.143934000356392,0.0114187596150988
6,0.487159741596351,-0.0692925218177885,0.00994515180119761
7,0.214618777534003,-0.123560089261235,0.00991374053324526
8,0.970530099035982,-0.00381757381189776,0.010678250288871
9,0.494024577341843,0.0712409072181417,0.0108504074977281
10,0.111912890514076,-0.174456438648515,0.0120439506375276
11,0.909873273442499,0.0122448649398125,0.0117011221183937
12,0.68562147038997,0.0434692955531459,0.0115312203124192
13,0.409375838819075,0.0871803979707851,0.0111670298047216
14,0.187656628913611,-0.146251451218692,0.0123217013087594
15,0.100449614297779,0.177508552512456,0.0116770674608571
16,0.408255466113542,-0.0868100952116986,0.0110195421519718
17,0.876332025856798,-0.0174213109671374,0.0125321927777292
18,0.370673491601495,0.0900618059884646,0.0101211300495263
19,0.999738069410184,-3.31878448441294e-05,0.0102203499782999
20,0.49233871456278,0.0772931243730973,0.0126730727157482
21,0.906464012996185,-0.0111499260794972,0.00900471183464185
22,0.916095093736366,0.0105544267589186,0.010036195073758
23,0.779748140910357,0.0285713666846012,0.0104385668588673
24,0.0854222435194335,-0.188847318148409,0.0120541451596679
25,0.509067422529929,-0.0704172565987305,0.0113733420097687
26,0.821783292040074,-0.0238676819304902,0.0112275096490569
27,0.284503431559335,-0.112831361202116,0.0111143256690652
28,0.398444020643721,-0.089997989908033,0.0113596687673916
29,0.915113100843485,0.0127067468065121,0.0142109791423715
30,0.511028465824667,-0.0768820964626664,0.0136837861027891
31,0.420741019758741,-0.0884776007149144,0.012076131664926
32,0.516826609212131,-0.0707461218628389,0.0119104219868198
33,0.00903431419222323,-0.291920710245623,0.0125025405452789
34,0.320924283621303,0.103627215682369,0.01090018489462
35,0.34952819406158,-0.0959382937410389,0.0105170008750729
36,0.527390899052488,0.0673012045650805,0.0113401807573627
37,0.369901332561449,0.0945397521520714,0.0111166791490644
38,0.554087533574653,0.0608893128166008,0.0105915127808097
39,0.777834424488748,-0.0293390778564945,0.0108132592378032
40,0.69431989207506,0.0418892615921375,0.011361130225127
41,0.0694092204714124,0.182666582002159,0.0101206318468263
42,0.151271937953795,-0.163333053945516,0.0129542466353688
43,0.125430218043765,0.155529947342275,0.0103014559988902
44,0.520435323225009,-0.0653582862797823,0.0103423483236709
45,0.391695986353705,-0.0913465400921763,0.0113732108371168
46,0.844715628370595,-0.0234206508111661,0.0142982566200536
47,0.264369825876982,-0.124601595897379,0.0124630319378044
48,0.548412796813172,-0.0641677286856801,0.0114321491739344
49,0.570952122847792,0.0651917557047517,0.0132359723544631
50,0.0378947871323245,-0.236561127256794,0.0129848173838717
51,0.956155741945329,0.00566035695985048,0.0105999747913038
52,0.559231494974213,0.0581134084217802,0.00990265670801603
53,0.541600931435214,-0.0614599238035311,0.0101382667932958
54,0.0516195120389408,0.19627552932855,0.0101698773972503
55,0.903780770381383,-0.0129086499855246,0.0114026172826891
56,0.230214898137951,0.122722921801964,0.0104623608671513
57,0.327434360313762,0.0939568107187258,0.00920512466536942
58,0.843770076583701,0.0204624919290053,0.0107810459674688
59,0.966909071173427,-0.00417378896595166,0.0101221802335763
60,0.766852253233172,-0.0373286383673546,0.0158507638293951
61,0.940062845705855,0.00784573193775336,0.0108877131754641
62,0.483332361825985,-0.0723213613530072,0.010645239012783
63,0.921418076072521,-0.00991127146361241,0.0100945208031944
64,0.858430888629356,0.0193237607188598,0.0117362744258847
65,0.235693998321655,0.122753904082493,0.0107160371450957
66,0.0248962186159742,-0.256018184786769,0.013028052574096
67,0.948983970667965,-0.00684928619724668,0.0114594814924635
68,0.609981302066236,0.0551571995854034,0.0116921268591793
69,0.821720202633689,0.0290604923559257,0.016632449203338
70,0.658192356934301,-0.0498661190058385,0.0127045931169488
71,0.980611536832383,-0.00251366184957522,0.0106984673143457
72,0.901671469071598,0.0129872761871157,0.0110496784300504
73,0.61939470896758,0.0544365860403003,0.0120109892908507
74,0.248268642326414,0.128493903869224,0.0123859219249835
75,0.357469706602045,-0.103258862910269,0.0125919457051314
76,0.286000421080305,0.109906062825074,0.0106112364701756
77,0.653534664394322,-0.0545424953119393,0.0147656847394678
78,0.906460373852465,0.0124620790721998,0.0112479376189942
79,0.0925353397308381,-0.192296167525254,0.0130677269866205
80,0.170461199460021,0.136717584377392,0.00994830526676839
81,0.217902954421461,0.119296915506776,0.00937453961072654
82,0.454505672698181,-0.0744283387847309,0.00990287009110665
83,0.127620994819012,0.14097362350793,0.0085617377768279
