"rand-number","p-value","par.est","var.est"
1,0.785746266894665,-0.0131752968000717,0.0023490873122832
2,0.750854062711354,0.0152160156748768,0.00229655969421907
3,0.998777041154945,-7.03959283941192e-05,0.00210936230002177
4,0.736702888561592,-0.0155932038238967,0.00215088150638938
5,0.898073598611122,0.00599511039424478,0.00219042480378125
6,0.253325895161112,-0.0521700423746632,0.00208581467746923
7,0.329270887432062,0.0438488524083238,0.0020201682435645
8,0.588478051617809,-0.0254414102016944,0.00221115427322818
9,0.713934685887478,0.016043504952702,0.00191543958132613
10,0.152361046236033,0.0675407836881786,0.00222692924949194
11,0.783039615174718,-0.0129316770975741,0.00220550356620018
12,0.364506794225374,-0.043478814100236,0.00229890961879707
13,0.6382050536361,0.0219172428321607,0.00217264254849529
14,0.890557454118379,-0.00612849314909349,0.0019837078817536
15,0.154528369168496,-0.063988114110152,0.00201999917654193
16,0.213978278515904,0.0540160399490752,0.00188935100574075
17,0.645762748688944,-0.0213373639589468,0.00215483782291232
18,0.873079178652792,0.00745735328912249,0.00217919328761556
19,0.960765118732068,-0.00220206312633469,0.00200375534127931
20,0.0970268820946968,-0.076533220114185,0.00212704235400125
21,0.88400147328018,-0.00681373997766971,0.00218106766098969
22,0.011319556950266,-0.115260450643024,0.00207110158465285
23,0.720328169406615,0.016081901943359,0.00201771428692991
24,0.878686306479969,-0.00700418982478345,0.00210576004790153
25,0.0270930519829219,0.102560414769539,0.00215330920937526
26,0.734619541079906,0.0158254715260379,0.00217945190933381
27,0.977220937835596,-0.00131604098516637,0.00212436557148954
28,0.553525223790113,0.0262550019831355,0.00196366768403146
29,0.171020504603746,-0.0594506846747401,0.00188603572455548
30,0.0903027861650409,-0.0801013695891445,0.00223642457685943
31,0.865962190710825,-0.00787849170737624,0.00217868847027253
32,0.318946094196335,0.0478794664860311,0.00230799148991396
33,0.0844831342848811,-0.0777787486799532,0.00203244969058082
34,0.535330949887218,0.0290674365568162,0.00219880026428307
35,0.287737416616005,0.0508563954621845,0.00228846554515379
36,0.938991978222733,-0.00362304499856656,0.00224081502260638
37,0.329069002187931,0.0470837432661259,0.002327289874249
38,0.234234442007166,0.0577885701694234,0.00236014762830308
39,0.187289458853448,-0.0622588918293312,0.00222920604049265
40,0.542356783067108,0.0283170847925031,0.00216023893928107
41,0.208866070294203,-0.0599740049859662,0.00227756137537156
42,0.679858018867286,0.0192996968214775,0.00218737269286623
43,0.887502974065376,0.00697870772416398,0.00243363172520855
44,0.671231722188422,-0.0202108824032181,0.00226725726699952
45,0.745869185508239,0.0149120103028192,0.00211708652446222
46,0.784972655503019,-0.0127404399015067,0.00218040939718321
47,0.0096906914522995,0.119653286446441,0.00213976210879703
48,0.271836684684993,-0.05056214280188,0.002117287771115
49,0.413423336876134,0.0380416854159003,0.00216339542536551
50,0.289258248157978,-0.0501234399092942,0.00223704491758202
51,0.310112193887682,-0.0446198192009963,0.00193256876930266
52,0.900999826216924,0.00599608695003829,0.00232330449269333
53,0.7665481816977,0.0141517402964582,0.00227205955921499
54,0.464255491073192,-0.0326505151155716,0.00199033833020746
55,0.517477402773001,0.0298711883967715,0.00212998189775481
56,0.611813402060268,0.0226250897902137,0.00198761095096972
57,0.475409113608088,-0.0345269202177008,0.00234033064428609
58,0.0587134817406536,0.0912255550283099,0.0023289306007167
59,0.567905519722842,-0.0255461040653821,0.00200062612465404
60,0.735046987876543,0.0161542368513613,0.00227856706288733
61,0.467359502348635,0.0332914781435954,0.00209825281013708
62,0.546886975712586,-0.0273644873000029,0.0020632856053908
63,0.147122767900977,0.0651904131857994,0.00202194558962731
64,0.10982171365763,0.0731919785735206,0.00209523511308369
65,0.46130717818788,0.0354630592928807,0.00231726473898158
66,0.652202941533285,0.0202004210556735,0.00200880662746865
